Value,StationName,ParameterName,ReadingDate
,Powers,Sulphur Dioxide,2026-04-20T11:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-20T11:00:00-06:00
,Powers,Wind Speed,2026-04-20T11:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-20T11:00:00-06:00
,Powers,Outdoor Temperature,2026-04-20T11:00:00-06:00
,Powers,Wind Direction,2026-04-20T11:00:00-06:00
,Powers,Nitric Oxide,2026-04-20T11:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-20T11:00:00-06:00
,Powers,Relative Humidity,2026-04-20T11:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-20T10:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-20T10:00:00-06:00
,Powers,Wind Direction,2026-04-20T10:00:00-06:00
,Powers,Outdoor Temperature,2026-04-20T10:00:00-06:00
,Powers,Wind Speed,2026-04-20T10:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-20T10:00:00-06:00
,Powers,Nitric Oxide,2026-04-20T10:00:00-06:00
,Powers,Relative Humidity,2026-04-20T10:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-20T10:00:00-06:00
,Powers,Relative Humidity,2026-04-20T09:00:00-06:00
,Powers,Wind Direction,2026-04-20T09:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-20T09:00:00-06:00
,Powers,Outdoor Temperature,2026-04-20T09:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-20T09:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-20T09:00:00-06:00
,Powers,Nitric Oxide,2026-04-20T09:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-20T09:00:00-06:00
,Powers,Wind Speed,2026-04-20T09:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-20T08:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-20T08:00:00-06:00
,Powers,Relative Humidity,2026-04-20T08:00:00-06:00
,Powers,Outdoor Temperature,2026-04-20T08:00:00-06:00
,Powers,Wind Speed,2026-04-20T08:00:00-06:00
,Powers,Wind Direction,2026-04-20T08:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-20T08:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-20T08:00:00-06:00
,Powers,Nitric Oxide,2026-04-20T08:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-20T07:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-20T07:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-20T07:00:00-06:00
,Powers,Wind Direction,2026-04-20T07:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-20T07:00:00-06:00
,Powers,Wind Speed,2026-04-20T07:00:00-06:00
,Powers,Relative Humidity,2026-04-20T07:00:00-06:00
,Powers,Nitric Oxide,2026-04-20T07:00:00-06:00
,Powers,Outdoor Temperature,2026-04-20T07:00:00-06:00
,Powers,Wind Direction,2026-04-20T06:00:00-06:00
,Powers,Nitric Oxide,2026-04-20T06:00:00-06:00
,Powers,Outdoor Temperature,2026-04-20T06:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-20T06:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-20T06:00:00-06:00
,Powers,Wind Speed,2026-04-20T06:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-20T06:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-20T06:00:00-06:00
,Powers,Relative Humidity,2026-04-20T06:00:00-06:00
,Powers,Relative Humidity,2026-04-20T05:00:00-06:00
,Powers,Wind Speed,2026-04-20T05:00:00-06:00
,Powers,Outdoor Temperature,2026-04-20T05:00:00-06:00
,Powers,Wind Direction,2026-04-20T05:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-20T05:00:00-06:00
,Powers,Nitric Oxide,2026-04-20T05:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-20T05:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-20T05:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-20T05:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-20T04:00:00-06:00
,Powers,Relative Humidity,2026-04-20T04:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-20T04:00:00-06:00
,Powers,Wind Speed,2026-04-20T04:00:00-06:00
,Powers,Nitric Oxide,2026-04-20T04:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-20T04:00:00-06:00
,Powers,Outdoor Temperature,2026-04-20T04:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-20T04:00:00-06:00
,Powers,Wind Direction,2026-04-20T04:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-20T03:00:00-06:00
,Powers,Wind Direction,2026-04-20T03:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-20T03:00:00-06:00
,Powers,Nitric Oxide,2026-04-20T03:00:00-06:00
,Powers,Wind Speed,2026-04-20T03:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-20T03:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-20T03:00:00-06:00
,Powers,Relative Humidity,2026-04-20T03:00:00-06:00
,Powers,Outdoor Temperature,2026-04-20T03:00:00-06:00
,Powers,Relative Humidity,2026-04-20T02:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-20T02:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-20T02:00:00-06:00
,Powers,Outdoor Temperature,2026-04-20T02:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-20T02:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-20T02:00:00-06:00
,Powers,Wind Direction,2026-04-20T02:00:00-06:00
,Powers,Nitric Oxide,2026-04-20T02:00:00-06:00
,Powers,Wind Speed,2026-04-20T02:00:00-06:00
,Powers,Wind Speed,2026-04-20T01:00:00-06:00
,Powers,Outdoor Temperature,2026-04-20T01:00:00-06:00
,Powers,Relative Humidity,2026-04-20T01:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-20T01:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-20T01:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-20T01:00:00-06:00
,Powers,Nitric Oxide,2026-04-20T01:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-20T01:00:00-06:00
,Powers,Wind Direction,2026-04-20T01:00:00-06:00
,Powers,Nitric Oxide,2026-04-20T00:00:00-06:00
,Powers,Wind Speed,2026-04-20T00:00:00-06:00
,Powers,Outdoor Temperature,2026-04-20T00:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-20T00:00:00-06:00
,Powers,Relative Humidity,2026-04-20T00:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-20T00:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-20T00:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-20T00:00:00-06:00
,Powers,Wind Direction,2026-04-20T00:00:00-06:00
,Powers,Wind Direction,2026-04-19T23:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T23:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T23:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T23:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T23:00:00-06:00
,Powers,Relative Humidity,2026-04-19T23:00:00-06:00
,Powers,Wind Speed,2026-04-19T23:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T23:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T23:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T22:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T22:00:00-06:00
,Powers,Wind Speed,2026-04-19T22:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T22:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T22:00:00-06:00
,Powers,Relative Humidity,2026-04-19T22:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T22:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T22:00:00-06:00
,Powers,Wind Direction,2026-04-19T22:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T21:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T21:00:00-06:00
,Powers,Relative Humidity,2026-04-19T21:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T21:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T21:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T21:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T21:00:00-06:00
,Powers,Wind Speed,2026-04-19T21:00:00-06:00
,Powers,Wind Direction,2026-04-19T21:00:00-06:00
,Powers,Wind Direction,2026-04-19T20:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T20:00:00-06:00
,Powers,Wind Speed,2026-04-19T20:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T20:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T20:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T20:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T20:00:00-06:00
,Powers,Relative Humidity,2026-04-19T20:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T20:00:00-06:00
,Powers,Wind Direction,2026-04-19T19:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T19:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T19:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T19:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T19:00:00-06:00
,Powers,Relative Humidity,2026-04-19T19:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T19:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T19:00:00-06:00
,Powers,Wind Speed,2026-04-19T19:00:00-06:00
,Powers,Wind Direction,2026-04-19T18:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T18:00:00-06:00
,Powers,Relative Humidity,2026-04-19T18:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T18:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T18:00:00-06:00
,Powers,Wind Speed,2026-04-19T18:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T18:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T18:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T18:00:00-06:00
,Powers,Wind Direction,2026-04-19T17:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T17:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T17:00:00-06:00
,Powers,Wind Speed,2026-04-19T17:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T17:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T17:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T17:00:00-06:00
,Powers,Relative Humidity,2026-04-19T17:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T17:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T16:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T16:00:00-06:00
,Powers,Relative Humidity,2026-04-19T16:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T16:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T16:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T16:00:00-06:00
,Powers,Wind Direction,2026-04-19T16:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T16:00:00-06:00
,Powers,Wind Speed,2026-04-19T16:00:00-06:00
,Powers,Wind Direction,2026-04-19T15:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T15:00:00-06:00
,Powers,Wind Speed,2026-04-19T15:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T15:00:00-06:00
,Powers,Relative Humidity,2026-04-19T15:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T15:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T15:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T15:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T15:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T14:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T14:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T14:00:00-06:00
,Powers,Relative Humidity,2026-04-19T14:00:00-06:00
,Powers,Wind Speed,2026-04-19T14:00:00-06:00
,Powers,Wind Direction,2026-04-19T14:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T14:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T14:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T14:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T13:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T13:00:00-06:00
,Powers,Relative Humidity,2026-04-19T13:00:00-06:00
,Powers,Wind Direction,2026-04-19T13:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T13:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T13:00:00-06:00
,Powers,Wind Speed,2026-04-19T13:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T13:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T13:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T12:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T12:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T12:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T12:00:00-06:00
,Powers,Relative Humidity,2026-04-19T12:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T12:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T12:00:00-06:00
,Powers,Wind Speed,2026-04-19T12:00:00-06:00
,Powers,Wind Direction,2026-04-19T12:00:00-06:00
,Powers,Wind Direction,2026-04-19T11:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T11:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T11:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T11:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T11:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T11:00:00-06:00
,Powers,Relative Humidity,2026-04-19T11:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T11:00:00-06:00
,Powers,Wind Speed,2026-04-19T11:00:00-06:00
,Powers,Wind Direction,2026-04-19T10:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T10:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T10:00:00-06:00
,Powers,Relative Humidity,2026-04-19T10:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T10:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T10:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T10:00:00-06:00
,Powers,Wind Speed,2026-04-19T10:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T10:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T09:00:00-06:00
,Powers,Wind Speed,2026-04-19T09:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T09:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T09:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T09:00:00-06:00
,Powers,Relative Humidity,2026-04-19T09:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T09:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T09:00:00-06:00
,Powers,Wind Direction,2026-04-19T09:00:00-06:00
,Powers,Wind Direction,2026-04-19T08:00:00-06:00
,Powers,Wind Speed,2026-04-19T08:00:00-06:00
,Powers,Relative Humidity,2026-04-19T08:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T08:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T08:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T08:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T08:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T08:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T08:00:00-06:00
,Powers,Wind Direction,2026-04-19T07:00:00-06:00
,Powers,Relative Humidity,2026-04-19T07:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T07:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T07:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T07:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T07:00:00-06:00
,Powers,Wind Speed,2026-04-19T07:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T07:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T07:00:00-06:00
,Powers,Wind Direction,2026-04-19T06:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T06:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T06:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T06:00:00-06:00
,Powers,Relative Humidity,2026-04-19T06:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T06:00:00-06:00
,Powers,Wind Speed,2026-04-19T06:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T06:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T06:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T05:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T05:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T05:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T05:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T05:00:00-06:00
,Powers,Wind Speed,2026-04-19T05:00:00-06:00
,Powers,Relative Humidity,2026-04-19T05:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T05:00:00-06:00
,Powers,Wind Direction,2026-04-19T05:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T04:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T04:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T04:00:00-06:00
,Powers,Relative Humidity,2026-04-19T04:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T04:00:00-06:00
,Powers,Wind Speed,2026-04-19T04:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T04:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T04:00:00-06:00
,Powers,Wind Direction,2026-04-19T04:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T03:00:00-06:00
,Powers,Relative Humidity,2026-04-19T03:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T03:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T03:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T03:00:00-06:00
,Powers,Wind Speed,2026-04-19T03:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T03:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T03:00:00-06:00
,Powers,Wind Direction,2026-04-19T03:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T02:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T02:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T02:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T02:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T02:00:00-06:00
,Powers,Wind Speed,2026-04-19T02:00:00-06:00
,Powers,Relative Humidity,2026-04-19T02:00:00-06:00
,Powers,Outdoor Temperature,2026-04-19T02:00:00-06:00
,Powers,Wind Direction,2026-04-19T02:00:00-06:00
,Powers,Fine Particulate Matter,2026-04-19T01:00:00-06:00
,Powers,Nitric Oxide,2026-04-19T01:00:00-06:00
,Powers,Total Oxides of Nitrogen,2026-04-19T01:00:00-06:00
,Powers,Relative Humidity,2026-04-19T01:00:00-06:00
,Powers,Sulphur Dioxide,2026-04-19T01:00:00-06:00
,Powers,Nitrogen Dioxide,2026-04-19T01:00:00-06:00
